"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "JavaScript", "PostCSS", "comment", "blank", "total"
"f:\e-booi-an-ebook-platform\frontend\AGENTS.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 6
"f:\e-booi-an-ebook-platform\frontend\CLAUDE.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\e-booi-an-ebook-platform\frontend\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\authors\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 189, 0, 0, 0, 8, 22, 219
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\books\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 17, 18, 112
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\books\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 179, 0, 0, 0, 1, 33, 213
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\categories\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 189, 0, 0, 0, 8, 22, 219
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 3, 12, 49
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 6, 18, 145
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 278, 0, 0, 0, 4, 24, 306
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 3, 26, 136
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\publishers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 189, 0, 0, 0, 8, 22, 219
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\users\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"f:\e-booi-an-ebook-platform\frontend\app\(admin)\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 3, 27, 166
"f:\e-booi-an-ebook-platform\frontend\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"f:\e-booi-an-ebook-platform\frontend\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"f:\e-booi-an-ebook-platform\frontend\app\(private)\cart\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"f:\e-booi-an-ebook-platform\frontend\app\(private)\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 231, 0, 0, 0, 5, 36, 272
"f:\e-booi-an-ebook-platform\frontend\app\(private)\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 208, 0, 0, 0, 5, 46, 259
"f:\e-booi-an-ebook-platform\frontend\app\(private)\library\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 17, 135
"f:\e-booi-an-ebook-platform\frontend\app\(private)\offers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 8, 23, 224
"f:\e-booi-an-ebook-platform\frontend\app\(private)\orders\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 318, 0, 0, 0, 0, 38, 356
"f:\e-booi-an-ebook-platform\frontend\app\(private)\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 11, 80
"f:\e-booi-an-ebook-platform\frontend\app\(private)\payment-success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 178, 0, 0, 0, 0, 27, 205
"f:\e-booi-an-ebook-platform\frontend\app\(public)\books\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 0, 17, 143
"f:\e-booi-an-ebook-platform\frontend\app\(public)\books\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 10, 36, 177
"f:\e-booi-an-ebook-platform\frontend\app\(public)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"f:\e-booi-an-ebook-platform\frontend\app\(public)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 10, 44
"f:\e-booi-an-ebook-platform\frontend\app\(user)\profile\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"f:\e-booi-an-ebook-platform\frontend\app\(user)\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 2, 15, 104
"f:\e-booi-an-ebook-platform\frontend\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 516, 2, 23, 541
"f:\e-booi-an-ebook-platform\frontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"f:\e-booi-an-ebook-platform\frontend\app\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 2, 1, 23
"f:\e-booi-an-ebook-platform\frontend\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"f:\e-booi-an-ebook-platform\frontend\app\shop\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"f:\e-booi-an-ebook-platform\frontend\app\shop\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"f:\e-booi-an-ebook-platform\frontend\app\wishlist\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 8, 23, 224
"f:\e-booi-an-ebook-platform\frontend\components.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"f:\e-booi-an-ebook-platform\frontend\components\layout\desktop-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\e-booi-an-ebook-platform\frontend\components\layout\mobile-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 5, 17, 121
"f:\e-booi-an-ebook-platform\frontend\components\layout\nav-links.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"f:\e-booi-an-ebook-platform\frontend\components\layout\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 6, 26, 181
"f:\e-booi-an-ebook-platform\frontend\components\layout\site-footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 8, 118
"f:\e-booi-an-ebook-platform\frontend\components\layout\user-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 4, 25, 147
"f:\e-booi-an-ebook-platform\frontend\components\search\search-cleanup.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 1, 4, 19
"f:\e-booi-an-ebook-platform\frontend\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 0, 10, 110
"f:\e-booi-an-ebook-platform\frontend\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 5, 53
"f:\e-booi-an-ebook-platform\frontend\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 5, 61
"f:\e-booi-an-ebook-platform\frontend\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 0, 10, 104
"f:\e-booi-an-ebook-platform\frontend\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 0, 14, 158
"f:\e-booi-an-ebook-platform\frontend\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 250, 0, 0, 0, 0, 19, 269
"f:\e-booi-an-ebook-platform\frontend\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"f:\e-booi-an-ebook-platform\frontend\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"f:\e-booi-an-ebook-platform\frontend\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 188, 0, 0, 0, 0, 14, 202
"f:\e-booi-an-ebook-platform\frontend\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 14, 136
"f:\e-booi-an-ebook-platform\frontend\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"f:\e-booi-an-ebook-platform\frontend\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 5, 50
"f:\e-booi-an-ebook-platform\frontend\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 12, 117
"f:\e-booi-an-ebook-platform\frontend\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"f:\e-booi-an-ebook-platform\frontend\constants\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\e-booi-an-ebook-platform\frontend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 2, 3, 19
"f:\e-booi-an-ebook-platform\frontend\features\admin\api\admin.api.ts", "TypeScript", 0, 0, 197, 0, 0, 0, 0, 0, 15, 41, 253
"f:\e-booi-an-ebook-platform\frontend\features\admin\components\books\BookDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 454, 0, 0, 0, 2, 38, 494
